lambda,mu_a_water,mu_a_skull
200.0,0.069,6.9
225.0,0.0274,2.74
250.0,0.0168,1.68
275.0,0.0107,1.0699999999999998
300.0,0.0067,0.67
325.0,0.00418,0.418
350.0,0.00233,0.233
375.0,0.00117,0.117
400.0,0.00058,0.058
425.0,0.00038,0.038
450.0,0.00028,0.0279999999999999
475.0,0.000247,0.0247
500.0,0.00025,0.025
525.0,0.00032,0.032
550.0,0.00045,0.045
575.0,0.00079,0.079
600.0,0.0023,0.2299999999999999
625.0,0.0028,0.2799999999999999
650.0,0.0032,0.32
675.0,0.00415,0.415
700.0,0.006,0.6
725.0,0.0159,1.59
750.0,0.026,2.6
775.0,0.024,2.4
800.0,0.02,2.0
810.0,0.019858,1.9858
820.0,0.023907,2.3907000000000003
825.0,0.028,2.8000000000000003
830.0,0.029069,2.9069000000000003
840.0,0.034707,3.4707000000000003
850.0,0.043,4.3
860.0,0.046759,4.6759
870.0,0.051999,5.1999
875.0,0.056,5.6000000000000005
880.0,0.055978,5.5978
890.0,0.060432,6.0432
900.0,0.068,6.800000000000001
910.0,0.072913,7.291300000000001
920.0,0.10927,10.927
925.0,0.144,14.4
930.0,0.17296,17.296
940.0,0.26737,26.737
950.0,0.39,39.0
960.0,0.42,4.2
970.0,0.45,4.5
975.0,0.45,4.5
980.0,0.43,4.3
990.0,0.41,4.1
1000.0,0.36,3.6
1020.0,0.27,2.7
1040.0,0.16,1.6
1060.0,0.12,1.2
1080.0,0.13,1.3
1100.0,0.17,1.7000000000000002
1120.0,0.52,5.2
1140.0,0.66,6.6000000000000005
1160.0,0.89,8.9
1180.0,1.04,10.4
1200.0,1.04,10.4
1220.0,0.95,9.5
1240.0,0.88,8.8
1260.0,0.89,8.9
1280.0,0.98,9.8
1300.0,1.11,11.1
1320.0,1.38,13.8
1340.0,1.83,18.3
1360.0,2.77,27.7
1380.0,6.1,61.0
1400.0,12.39,123.9
1420.0,22.12,6.636
1440.0,28.8,8.64
1460.0,28.4,8.52
1480.0,21.23,6.369
1500.0,17.59,5.277
1520.0,14.05,4.215
1540.0,11.83,3.549
1560.0,9.67,2.901
1580.0,7.95,2.385
1600.0,6.72,2.016
1620.0,5.82,1.746
1640.0,4.98,1.494
1660.0,4.54,1.362
1680.0,4.49,1.347
1700.0,4.44,1.332
1720.0,5.11,1.533
1740.0,6.14,1.842
1760.0,7.14,2.142
1780.0,8.12,2.4359999999999995
1800.0,8.03,2.409
1820.0,8.98,2.694
1840.0,10.24,3.072
1860.0,14.19,4.257
1880.0,31.08,9.324
1900.0,66.14,19.842
